S1,S2,S3,S4,S5,S6,S7,S8,Gesture_Class
1.125,4.875,0.125,0.125,-0.75,-1.75,1.125,-6.875,2
2.25,-0.625,-0.625,-0.25,-5.375,-0.25,-0.875,-1.625,1
-3.0,-0.75,-0.375,0.0,2.0,-1.25,6.25,-1.75,0
-1.125,-0.75,-0.625,-0.5,1.875,-2.5,-0.5,-1.25,1
-1.5,2.375,-0.25,-2.125,2.0,-1.125,-1.5,-0.375,0
-2.125,-0.5,-0.625,-1.25,1.75,2.125,-0.5,-2.25,1
2.25,-0.25,-1.0,-0.375,-0.75,-5.375,-0.625,0.375,1
-3.25,-0.75,-1.0,-1.75,0.0,9.125,-0.5,-2.0,3
-2.875,-3.0,-1.25,-1.0,-3.625,-0.125,-1.375,-4.875,2
-4.375,-1.5,-0.625,-0.375,6.125,7.375,0.375,-1.875,3
-1.375,-1.375,-1.5,-0.25,5.0,2.625,0.0,1.625,1
0.5,-0.875,-1.375,-0.875,0.25,-2.0,-7.5,-3.75,3
-0.375,-0.5,-0.375,-2.125,-2.375,-5.375,-10.0,-1.5,0
-5.625,-1.625,-0.25,-1.75,-2.0,-0.625,-1.5,-2.375,1
6.125,-2.5,-1.0,0.0,1.0,5.75,10.25,8.625,0
0.0,0.5,-0.5,-0.5,-0.625,-1.625,-0.125,0.5,1
2.0,0.625,0.375,0.375,2.75,-4.25,-0.75,-0.25,1
-7.75,-7.125,-4.25,0.125,1.25,-2.375,1.5,5.0,2
-1.25,-0.625,-0.625,-1.25,-1.75,-6.25,0.0,-1.25,3
4.5,-1.375,-2.0,-2.5,-3.125,2.125,-1.625,-2.5,2
-9.125,-3.625,-2.0,-3.75,-0.125,-4.125,-11.25,-8.25,0
-1.625,-2.625,-0.625,-0.875,6.125,4.375,-0.125,-1.875,1
-2.25,-1.625,-1.5,-0.5,2.5,0.625,-2.375,-4.25,1
-2.0,-1.625,-1.875,-2.25,-1.5,-10.0,-2.375,-6.625,3
0.875,-0.125,-3.5,-2.125,1.5,6.0,-0.75,-0.625,2
-0.625,-0.625,0.25,3.25,0.875,-2.625,-0.875,-1.75,0
5.75,0.625,-0.625,-1.75,-0.875,0.125,4.125,-2.875,0
-0.5,-1.0,-1.25,-1.25,-0.875,1.0,-1.25,0.0,1
-1.125,-1.0,-0.625,-2.125,-1.375,-2.5,-3.75,0.875,0
-2.625,0.0,-1.375,-1.75,0.25,-2.75,-9.25,4.25,0
3.0,-1.125,-2.125,-1.0,4.5,3.0,-1.25,3.25,1
-2.375,-3.125,-3.125,-0.75,-7.25,1.75,-0.25,-2.125,2
0.125,-2.0,-0.875,-2.0,-4.125,-4.875,-3.375,-3.375,2
-2.0,-0.625,-0.625,0.125,-0.5,-0.75,0.0,-0.875,3
-2.625,-0.375,-2.5,-1.5,1.375,6.875,-2.25,-6.25,2
-3.0,-1.75,-1.375,-0.625,3.375,-0.25,0.375,1.25,3
3.0,-0.5,-0.25,-1.625,-0.75,-2.0,-6.25,-4.0,0
1.25,-2.375,-1.75,-0.25,0.375,14.75,2.25,-1.375,3
-3.625,-0.5,0.0,-0.25,-4.125,-3.125,0.125,-1.5,1
-0.75,1.75,0.25,-1.0,-4.75,-6.125,0.625,0.875,2
-4.125,-2.0,0.25,-4.625,2.25,-5.75,0.375,0.625,3
-1.25,-1.375,-1.5,-1.375,-1.625,0.5,-3.25,-0.75,0
4.25,-0.75,-0.625,-0.375,-3.0,0.375,0.125,-0.125,1
2.0,-1.375,-1.0,0.25,0.75,4.125,0.0,-1.75,3
-5.125,-1.0,-0.625,-1.25,0.875,2.0,-0.375,-2.625,3
0.0,-0.125,-0.375,-0.25,1.75,-1.0,7.875,-3.5,0
2.0,0.75,-0.125,1.125,0.875,3.625,3.25,0.375,0
4.75,0.875,0.125,-0.625,0.625,-1.25,-28.125,-5.5,0
-0.125,-0.875,-1.25,-1.25,-0.875,-5.25,-1.5,-1.75,3
-1.625,-5.5,-0.375,0.5,3.25,1.5,0.125,-0.625,2
1.0,0.0,-0.375,-0.625,3.25,1.75,-1.125,1.25,2
0.625,-0.5,-1.25,-0.625,-2.375,1.0,-0.25,0.0,1
-2.875,-2.125,-1.375,-4.0,4.5,4.25,-2.5,-2.375,3
-2.375,-0.875,-0.25,0.125,-3.875,-1.625,0.625,-2.875,3
2.75,-0.25,1.75,0.25,3.5,3.5,-5.625,2.0,0
3.75,0.25,-0.875,-1.125,1.5,1.375,-11.0,-4.5,0
-3.75,-2.0,1.0,-1.0,0.5,4.875,-3.625,-8.5,2
-2.25,0.125,0.875,-1.125,-0.625,-1.25,-5.625,-1.25,2
-1.375,0.625,-0.625,1.75,1.75,4.625,12.125,-2.0,0
-1.0,-1.375,-0.75,-1.375,-2.625,5.5,-1.75,-1.875,3
-0.25,-2.5,0.375,-0.625,0.5,-1.25,-1.75,-1.125,2
-1.125,4.625,-1.75,-1.125,1.125,-4.5,0.0,-4.375,2
2.5,-1.375,-0.625,-2.0,-0.5,0.75,0.375,-5.75,0
-1.125,-0.375,-1.125,-0.875,0.125,-4.25,-3.75,-0.5,3
0.5,-0.125,-0.5,0.125,1.375,2.875,-1.625,7.375,2
1.5,-0.375,-1.0,-1.125,0.375,-0.625,-1.375,-3.0,0
-2.5,-0.125,-1.5,1.375,-4.5,-10.0,-10.625,5.5,0
-2.0,-0.5,-0.875,-2.125,1.25,-0.625,-10.0,-7.5,0
1.25,-0.125,-0.375,-1.125,0.25,-0.375,0.125,4.125,0
0.5,-1.125,0.125,-0.625,-0.5,-1.0,-1.0,-0.75,1
-2.125,-0.5,-0.375,0.0,0.25,3.375,-1.5,-1.625,3
-3.25,-0.75,-0.25,-0.75,-3.875,-0.625,-0.375,-1.375,1
2.75,0.0,-0.5,-0.75,-0.5,1.25,-0.375,-0.875,1
3.875,-1.25,-1.5,-1.625,-3.0,1.5,-0.5,-1.125,1
-2.25,-0.625,0.125,-0.25,2.0,4.625,4.375,-2.75,0
-1.375,0.5,0.125,-3.875,-0.125,3.5,1.375,4.125,0
0.375,-0.25,-1.125,1.125,3.25,4.0,0.375,-2.875,0
0.75,0.25,0.25,-1.0,-1.0,-3.0,7.0,0.625,0
2.625,-0.875,-1.375,-1.25,-7.0,-7.5,-2.25,0.25,1
0.0,0.0,0.25,-0.125,-3.625,-5.875,-0.25,0.125,3
-8.25,-5.0,-2.875,-0.5,1.75,1.375,-5.75,2.75,0
0.125,-0.625,-0.5,-0.625,-2.125,-3.25,-1.125,1.5,1
-6.25,-1.25,-0.375,0.5,0.75,7.875,-0.125,2.75,2
7.5,0.5,-1.25,-2.875,3.375,3.0,4.5,3.625,0
-3.125,-1.375,-3.0,-1.25,-5.5,-5.625,-1.75,-2.625,2
-3.625,-1.125,-1.125,-0.125,-0.25,-2.75,0.0,-1.75,3
1.375,-1.0,-0.125,-0.125,5.125,2.625,-0.875,0.0,1
-6.25,-0.5,-1.125,2.0,0.75,-1.5,-4.25,3.25,0
0.5,6.0,-2.125,-2.75,4.625,12.75,-7.375,1.25,0
-1.125,-0.375,-0.25,-0.375,-1.625,-2.5,-1.375,-0.75,3
-0.875,-0.75,-0.625,-2.625,-0.75,3.625,10.5,-1.625,0
-1.125,-0.75,-1.25,-0.375,4.125,3.0,1.125,-2.25,3
-8.5,-2.0,-0.75,0.25,0.25,-5.875,0.375,0.875,2
-2.75,2.625,0.75,-0.75,-1.625,0.625,0.5,-4.75,2
-3.875,-0.75,-0.5,-0.875,0.0,-1.75,-0.25,-0.25,1
1.5,0.875,0.5,0.75,2.375,0.375,-0.25,-1.0,3
-1.0,-1.5,-0.5,-1.25,0.625,-0.125,2.75,1.125,0
-0.125,-0.375,0.0,0.875,-0.25,4.0,3.0,-4.5,3
-1.25,-2.75,-1.75,-0.5,-5.375,2.125,0.0,-3.625,2
1.125,2.75,0.0,-0.125,2.25,3.25,4.625,2.875,0
-3.125,-1.5,-1.125,-0.5,-1.625,-4.375,-1.375,-2.25,1
0.25,-0.875,-0.75,-0.625,-2.0,-4.25,-2.375,-1.0,3
2.375,-0.125,-0.125,0.375,2.0,-3.875,0.0,1.875,3
-2.0,-0.125,0.125,-0.875,-0.125,0.5,1.0,2.5,0
-0.875,-0.75,-0.75,0.125,0.375,0.5,-1.125,-2.0,1
5.875,0.0,-0.625,-0.375,2.125,-2.875,-1.375,-1.125,1
-1.75,-1.5,-0.875,-0.75,-0.125,-0.125,0.0,0.125,3
-0.875,5.5,1.375,0.0,-0.25,-7.5,-1.0,1.875,2
-0.75,-2.25,-1.25,-0.375,7.875,3.25,-1.375,-1.75,1
-0.75,1.25,-0.625,-0.375,3.375,6.25,-21.25,0.875,0
-6.125,2.75,3.25,0.0,7.125,0.875,0.125,1.625,2
-2.5,-0.875,-1.25,-1.875,3.125,4.5,0.125,-2.75,3
1.375,5.0,-0.75,-1.125,1.5,8.25,-0.125,-3.0,2
-1.75,-0.375,-0.875,-1.0,-2.125,-1.0,0.5,-1.0,3
0.0,-1.125,-0.375,-0.25,-0.375,-7.875,-1.25,0.875,3
5.25,-0.625,-0.375,-1.0,-2.625,9.5,-0.75,-4.75,2
1.0,-8.125,0.25,-1.125,-2.625,-1.625,-0.875,4.125,2
-2.75,0.0,-0.25,0.875,0.0,0.375,-11.875,4.5,0
1.625,-0.375,0.375,0.5,0.125,0.375,3.125,-2.75,3
-2.0,-4.75,-1.125,-1.25,1.625,0.5,-1.75,-0.25,2
0.25,-1.5,-1.0,-0.625,-2.75,7.5,0.75,-0.125,3
3.75,-1.125,-1.25,-1.25,-1.625,-0.375,-0.75,-1.125,1
-1.75,-1.375,-1.125,-0.75,8.125,8.625,-1.375,-3.625,1
-2.375,-1.25,-1.375,-1.75,-2.5,-2.875,0.625,-1.625,0
5.75,1.25,-1.875,-4.375,5.375,8.375,16.125,11.125,0
-7.625,-2.125,-0.375,-1.5,1.75,1.875,-1.0,-0.375,1
-0.375,-0.375,-0.75,-1.5,-1.375,-2.0,-2.375,0.25,0
-4.875,-1.125,-0.625,-1.25,4.125,0.625,-0.875,-3.75,1
1.125,0.0,-0.875,0.25,4.5,-0.625,0.875,-0.125,1
6.375,-0.625,-1.125,-0.5,2.125,2.375,6.25,3.875,0
-4.625,-0.875,0.125,-0.25,5.75,1.25,-1.625,-1.0,1
-2.5,-0.625,-0.125,0.875,-2.125,-0.625,-5.125,-7.625,0
1.625,-0.625,-0.5,-1.0,0.125,0.75,1.75,0.0,0
4.625,2.5,0.875,0.25,4.25,-11.75,0.875,3.375,2
3.875,-0.375,-0.25,0.5,-0.375,-4.125,-1.25,-0.125,1
0.375,-1.125,-1.0,-0.75,3.875,-0.25,-0.25,-0.625,1
-3.25,-3.5,-1.5,-0.875,0.625,0.625,-37.625,-4.5,0
1.5,-0.25,-1.375,-0.375,2.125,6.75,0.375,-0.125,3
2.75,1.125,1.25,2.5,3.75,1.875,1.625,-1.375,3
-0.25,-2.875,-3.25,0.25,-0.125,6.0,-0.125,0.0,2
-1.125,-0.625,-0.625,0.375,2.0,-7.75,-2.125,-2.25,3
-1.25,-0.875,-0.5,-0.375,-1.0,-4.125,-1.875,-1.25,3
1.25,-1.25,-1.5,-1.5,2.0,3.0,-0.25,1.375,1
-1.375,-1.75,-1.75,-2.875,-6.625,-19.75,-3.75,-0.625,3
2.875,-0.125,-2.125,-0.875,-8.375,-11.375,-2.625,1.5,3
-1.25,0.0,-0.5,0.25,-0.375,3.375,-9.625,-2.875,0
2.625,4.25,-0.875,-0.875,-0.125,0.875,3.5,3.0,2
-5.0,-1.0,-0.375,0.125,11.5,1.625,-0.75,-3.25,1
0.375,-0.625,-0.625,-0.75,-7.625,-22.125,-2.125,2.5,3
-2.5,-0.125,-1.875,-0.875,0.5,-2.625,-0.625,0.5,2
-0.625,-0.5,-1.375,-2.25,0.875,-2.25,-5.0,-6.625,0
0.5,-1.125,-1.0,2.125,4.625,-0.375,-5.75,-7.375,0
-1.125,-0.875,-0.875,-2.5,1.625,0.75,6.875,-0.625,0
0.0,-0.625,-0.375,-2.375,-2.75,0.625,5.25,0.375,0
1.625,-0.5,-0.875,-0.625,6.75,6.5,-0.75,-3.375,1
1.625,0.0,0.0,0.0,-3.375,-4.625,-1.0,2.5,1
1.25,-1.25,0.5,-0.5,0.0,5.25,0.125,-1.375,2
2.0,-0.5,-1.625,-0.875,0.375,-1.625,-0.875,0.5,1
-0.375,0.125,-0.625,-0.5,-7.5,-13.875,0.625,0.875,3
2.125,7.125,0.875,0.0,4.75,4.625,0.5,3.0,2
3.625,-0.875,-1.125,-1.25,1.75,-10.75,-3.0,1.5,3
3.0,0.5,-1.875,-1.75,0.0,-2.0,-0.375,2.125,3
1.0,-0.5,-0.75,-1.25,-5.75,-1.0,-0.5,-1.75,3
6.25,-0.5,-0.125,1.375,2.125,-0.125,-3.875,-1.875,0
-2.875,0.125,0.375,4.375,-1.25,-7.125,-16.0,-6.375,0
-2.0,-1.125,-1.375,-1.375,0.25,-2.5,-1.625,-1.875,3
1.75,0.25,-0.5,-0.5,-0.25,0.0,-1.25,-0.625,1
0.5,0.625,-1.125,-1.0,2.375,2.625,-0.125,0.375,1
6.5,-0.5,0.0,1.875,-0.625,-2.375,-4.25,-0.5,0
2.375,-0.5,-0.875,-1.0,-1.0,0.5,0.125,0.75,3
0.125,-0.625,-0.5,-1.125,0.625,-0.25,4.5,-2.875,0
0.75,-1.125,-0.25,-0.25,-3.25,-6.625,0.75,3.125,1
-1.25,-0.875,-1.25,-2.0,1.375,3.5,1.875,-6.125,0
0.625,0.375,-0.125,-0.125,0.125,-1.875,-0.75,-1.25,1
1.625,-0.125,-0.25,-0.625,4.125,-7.875,1.625,3.75,3
-2.25,-0.25,-0.25,-1.0,-1.625,-1.375,-8.875,-5.375,0
-0.75,-1.375,-1.0,-0.75,1.0,0.5,-2.0,-1.5,0
-0.375,2.25,0.125,-0.375,-5.0,-4.75,-1.125,-3.375,2
-2.375,-1.25,-0.625,-1.0,0.5,-3.75,-0.125,0.5,3
1.375,-4.625,-2.25,-1.875,2.0,-4.25,-2.125,-1.375,0
-10.125,-2.125,-1.5,-0.625,-2.875,-3.25,5.25,4.25,3
-2.375,-0.375,-1.5,-1.25,0.75,0.875,-0.5,-1.375,1
-5.375,0.25,-0.75,-0.625,5.375,9.0,-0.75,-3.875,2
3.375,-5.625,0.125,-1.5,1.375,1.875,-0.5,-0.875,2
1.875,-0.625,-1.5,-1.25,-2.25,0.625,-1.875,0.375,1
6.125,-0.625,-1.25,-1.0,-1.5,4.25,4.5,0.0,0
0.0,-0.125,-0.125,1.625,0.125,-6.125,-0.25,0.625,1
-1.0,-0.25,0.375,1.125,3.125,4.25,9.5,2.375,0
-3.5,2.625,-1.875,-2.375,-1.875,-0.625,-2.75,1.25,2
-3.5,-2.0,-1.625,-1.0,-8.0,1.125,-0.625,-0.625,1
1.75,0.25,-0.5,-1.75,2.875,5.875,-1.25,7.0,0
-1.25,6.0,1.0,-0.625,-0.75,1.625,0.125,0.25,2
-0.625,1.125,0.5,1.0,-4.125,4.0,1.75,-1.375,2
1.5,-0.375,-1.625,-1.375,-4.0,-9.125,-2.25,-1.875,3
-1.0,0.75,2.125,0.5,2.625,6.125,6.125,4.75,2
-0.625,-3.5,-1.75,-1.0,4.25,6.375,-2.625,-0.375,2
-5.25,2.625,-2.375,-2.5,-5.0,-8.375,-2.5,-5.0,2
-13.25,-2.625,-3.75,-0.5,6.125,11.125,-10.5,-0.625,0
2.25,0.125,-1.375,-4.0,-0.75,14.375,-7.875,3.5,0
-4.625,-1.0,-2.25,-2.125,-6.75,-8.625,-3.75,-2.25,3
1.0,-4.0,-0.875,-1.0,-3.125,-7.875,-0.25,-0.125,2
0.5,-0.625,-0.75,-1.0,5.0,2.0,-0.625,-0.625,1
-4.0,0.625,-0.5,-1.0,-2.75,-3.25,-1.75,-7.0,2
-2.875,-1.25,0.125,-0.75,-2.875,-2.625,-1.75,-4.25,1
-1.75,-6.625,-0.25,-0.5,-0.375,-1.75,-1.75,-1.75,2
0.125,-0.5,-0.625,-0.25,-1.875,-0.625,-0.875,1.5,1
-1.125,-0.75,0.0,-0.25,-3.125,0.75,0.875,-0.375,3
2.0,-0.375,1.0,1.375,-5.625,-1.375,0.625,0.25,1
2.75,-0.875,-1.25,-0.5,-2.625,-1.125,-0.125,2.75,1
-2.0,-1.0,-1.125,-1.875,3.125,4.875,0.5,0.75,1
-1.75,-1.125,-0.25,-2.0,7.0,4.375,-0.625,-1.25,1
-2.875,-0.125,-0.25,-0.75,5.625,-3.5,-1.0,-0.875,1
-0.375,-1.0,-0.5,0.375,4.125,7.5,-0.5,0.625,3
2.625,0.0,-0.125,0.0,-0.125,-0.375,0.25,0.75,3
-0.25,-3.125,-0.75,0.5,2.25,1.5,-0.5,1.5,2
-1.375,2.625,-0.5,-1.125,-10.625,-0.75,-0.5,-1.5,2
-0.5,2.0,-2.0,-3.625,0.125,-1.0,13.375,4.0,0
-2.0,1.5,0.75,3.25,0.75,-3.75,-0.875,-3.25,0
0.5,-0.875,-0.625,-1.375,-1.75,-1.625,-0.75,-1.375,1
-0.875,-0.75,-0.625,-0.625,-1.0,-2.625,-2.875,-0.875,3
-0.75,0.375,0.25,0.375,-5.875,-6.625,-2.5,4.125,3
-2.5,-0.375,-0.125,-0.25,2.125,1.625,-1.75,-1.75,2
1.375,-1.25,-0.625,-0.5,-4.5,-8.75,-1.375,-4.5,2
-1.125,-3.25,-1.75,-1.875,-0.25,-13.25,-6.0,2.5,2
-2.0,-0.625,-0.25,-0.25,1.375,-1.875,1.0,0.5,0
-1.125,-1.125,-0.5,0.625,6.625,11.5,0.5,1.125,3
3.375,-1.75,-1.125,0.25,-0.5,-5.0,-3.125,-0.625,0
-2.125,-1.0,-0.125,-0.625,7.25,9.875,-0.75,-0.875,3
4.0,0.25,-0.5,-0.125,3.75,-3.25,0.25,1.25,1
-4.5,-1.75,0.5,0.5,-8.125,-5.5,-1.75,-0.625,1
-5.875,-0.75,-0.875,-1.0,-0.25,1.0,-0.125,-3.375,1
5.5,-3.0,-1.625,-2.5,1.125,3.875,4.125,-3.5,0
-1.5,-0.75,-1.5,-1.5,2.375,-0.375,-3.0,-2.0,0
-1.5,-1.625,-1.5,-1.625,5.375,-0.125,-2.125,-1.25,1
2.125,-4.5,1.25,0.0,4.75,-0.25,-4.125,-3.625,2
-1.875,-1.25,-1.125,-2.125,0.125,6.0,-1.375,-2.625,1
-1.375,-1.25,-0.25,0.125,1.5,-4.5,-1.375,-7.25,2
2.125,2.125,-1.125,-1.75,-3.375,0.875,1.5,-1.25,2
-5.625,-1.625,-1.875,-2.625,-0.75,5.375,0.25,-0.625,1
1.125,0.0,-0.25,-2.125,-0.5,-0.125,8.625,3.75,0
0.0,-0.75,-0.75,-0.5,-6.875,-5.25,-2.0,0.875,1
-0.125,1.0,-0.125,0.125,3.875,1.625,0.375,-2.25,2
-5.875,1.0,0.25,-3.25,4.5,-0.25,1.875,-0.5,0
-1.25,-0.375,-1.0,-0.625,4.25,1.25,-0.5,-1.125,1
-1.875,-9.625,-1.625,-1.75,2.75,5.0,-0.625,-1.25,2
-3.5,-3.375,-2.375,-2.625,-3.375,4.25,3.125,2.125,2
-2.625,-0.75,-1.875,-1.0,-1.5,-6.625,-0.625,-0.625,3
6.75,-0.125,-0.375,-0.375,0.375,0.875,-1.25,-2.875,0
1.625,-0.5,1.125,-0.125,0.25,0.25,0.0,2.5,2
1.0,-1.0,-1.5,-2.125,-3.0,2.5,-2.125,-0.625,1
-0.625,1.375,0.0,-1.0,-6.0,-6.75,0.125,1.375,2
-1.0,-0.625,0.25,1.125,-2.0,-0.75,-10.625,-10.0,0
1.625,0.0,-0.5,0.125,-5.875,-6.125,-1.0,-2.0,1
11.25,8.375,2.125,2.0,-1.125,7.875,2.5,-1.375,2
-1.75,-0.125,0.125,0.5,3.25,-2.375,0.5,-0.625,1
-7.125,-3.625,-1.875,-4.375,-0.75,-3.625,-14.375,-11.625,0
-0.75,-14.125,4.375,0.375,-1.375,6.0,12.25,0.5,0
1.625,-2.5,2.0,-0.625,0.125,5.75,0.125,-0.125,2
-2.5,-1.125,-0.75,-0.875,-0.25,1.75,-0.625,-1.375,3
-5.5,-1.25,-1.875,-1.0,-2.0,-1.625,-11.375,-1.625,0
-2.625,-0.5,0.125,0.0,3.625,-0.375,-0.125,-1.375,3
-4.375,-3.125,-2.125,-2.25,-5.625,-6.75,-2.5,0.25,3
-0.125,-2.625,-0.875,-0.125,1.0,8.5,-0.375,-2.25,2
-3.25,-8.625,-2.0,-1.25,-5.0,0.5,-0.25,-2.625,2
-3.875,-3.0,-1.375,0.875,1.125,0.125,-2.875,-3.625,0
-1.0,0.5,0.25,-0.125,1.625,-7.0,-1.375,-1.125,1
-3.0,-0.375,-0.625,-1.125,-2.0,-2.875,-0.625,2.875,3
2.0,2.875,-3.0,-4.0,2.75,1.75,0.625,5.25,2
2.125,-0.75,-2.25,-1.75,-1.875,-3.625,-2.375,-0.375,2
-2.75,-1.125,-1.25,-1.375,-3.75,-12.125,-3.0,-2.875,3
3.0,-0.5,-0.75,-1.5,1.125,4.75,16.375,6.25,0
-5.5,-1.125,-1.125,0.25,2.5,1.625,-0.25,-0.25,1
0.875,5.0,1.5,0.75,3.25,-3.0,0.25,-1.125,2
-1.25,0.125,-0.625,-0.125,3.625,3.375,2.0,-0.25,3
-1.375,-1.5,-0.5,-0.625,0.0,-3.0,-1.375,-1.875,1
1.75,2.75,1.0,1.5,2.75,5.5,-0.375,-0.125,2
0.0,0.375,0.625,-0.75,3.625,3.0,0.0,-0.375,2
-0.125,-0.625,0.0,-1.625,1.0,2.875,5.25,0.75,0
-3.375,0.75,-0.125,-0.625,-7.0,-7.25,-0.75,-1.125,1
0.75,0.375,-0.375,0.75,0.125,-4.375,-0.625,0.75,1
-2.625,-1.125,-1.375,-1.625,1.875,0.375,-1.75,-2.75,1
-4.125,0.125,0.625,1.125,-1.0,-1.375,-7.75,-2.375,0
1.125,-0.125,-0.5,-0.875,-4.125,-3.625,1.875,-0.75,2
-0.625,0.125,-0.25,-0.25,-1.5,-3.0,-0.625,0.75,1
3.375,1.125,0.125,0.125,1.75,4.875,0.625,-0.375,3
0.625,-0.375,-0.25,0.0,2.875,3.625,-1.5,-4.375,3
2.0,3.375,-0.75,-2.125,-1.5,-4.125,0.5,-0.125,2
-6.125,-1.0,-0.875,-1.625,-1.875,4.5,9.0,2.5,0
2.5,0.25,-0.75,-0.375,-2.0,1.375,0.0,0.5,1
1.375,1.75,0.375,1.0,-1.75,-0.25,0.25,0.625,2
-5.125,-1.125,-0.375,-0.5,-1.5,-2.125,-0.75,-2.125,1
-1.75,3.25,-1.0,-1.75,-3.5,-4.75,-0.75,-3.25,2
2.0,2.75,-1.625,-2.25,-1.875,-9.0,-3.875,-4.875,2
-1.75,-0.25,-0.125,-1.25,-1.625,-13.625,-2.5,-2.875,3
3.5,-0.5,-0.625,-1.0,-4.0,-0.875,0.375,1.0,3
1.125,-0.875,-1.0,-0.75,-3.625,-3.625,-1.625,-0.875,1
2.125,-9.25,-1.125,-0.875,-7.5,-6.375,-0.375,3.75,2
0.5,-0.875,-1.125,-0.125,1.625,-1.75,-1.25,3.25,0
-3.125,-1.0,-0.75,-0.625,2.125,-4.25,-1.375,-1.5,1
-1.75,3.0,1.875,0.375,-2.625,2.0,-12.625,-1.625,0
4.125,1.125,-0.75,-1.125,1.125,4.375,2.125,5.375,2
-6.0,-0.875,-1.0,-0.875,0.375,-2.75,-1.5,-2.125,1
-0.875,-1.0,-1.875,-2.625,0.375,-8.625,-4.375,-3.25,3
-0.5,-1.0,-1.25,-1.75,-5.125,-2.5,0.0,-0.25,3
-1.125,-0.125,-1.875,-1.75,-5.5,-13.625,-2.25,-1.125,3
-0.625,0.5,-0.375,0.375,-1.75,-12.25,0.625,-2.25,3
-1.375,-0.5,-0.5,-0.75,-4.375,-4.5,-1.0,1.25,3
-1.875,-4.125,-1.875,1.625,1.5,2.125,-0.125,-1.375,2
3.75,-1.0,-2.125,-1.75,6.5,5.375,-1.75,-1.125,1
1.625,0.0,-1.5,-1.375,2.5,-4.625,-1.375,-2.625,3
-1.125,1.25,0.25,0.125,-2.5,-1.125,-4.25,-1.5,0
-2.625,-1.0,-0.625,-0.125,4.125,1.375,-0.75,-1.25,1
3.125,0.375,-0.25,-0.75,-5.0,-2.125,0.0,-0.75,1
-0.5,-1.0,-0.875,-1.5,-3.5,-1.0,-1.125,-0.375,3
2.25,-0.375,-1.375,-0.625,0.625,2.125,-0.75,-1.375,1
7.5,-0.5,-1.625,-1.875,6.5,2.125,0.5,-0.625,1
0.25,-0.875,-0.75,0.0,-0.25,0.625,-6.375,-8.25,0
3.625,-1.625,-1.0,-0.625,-3.625,-9.0,-1.5,3.25,2
-3.5,-1.875,-2.125,-2.125,0.625,-4.125,-0.375,-2.375,3
5.875,-2.875,-1.25,-1.625,-4.5,1.125,0.125,4.375,2
-2.875,-0.875,-1.25,-0.625,0.5,-0.5,-1.125,-2.125,3
-3.125,1.125,-0.5,-1.875,0.875,2.375,8.125,1.125,0
2.125,-1.125,0.25,0.5,-0.5,-2.5,-2.625,-6.375,2
-10.25,-1.75,-1.875,-4.375,-1.75,-1.75,-4.625,2.75,0
-1.75,-4.75,-1.375,0.75,1.5,4.5,-8.125,-6.375,0
2.375,-0.625,-0.125,-0.375,-5.375,-7.0,-1.0,-1.75,1
-1.25,-1.125,-0.125,-0.125,-0.375,3.75,1.25,-0.5,0
-1.0,0.25,-0.75,-0.375,0.125,6.625,1.375,0.375,3
-2.75,-1.25,-1.5,-0.25,1.5,2.875,-4.75,-1.25,0
-3.0,-3.0,-2.375,-2.0,0.0,-5.125,-0.5,-0.875,2
-8.75,-1.25,-0.5,0.625,-2.625,-7.0,-24.875,-4.0,0
0.75,0.25,-1.5,-1.875,-1.625,-4.5,-1.25,-2.625,2
-1.25,-0.875,0.25,0.0,1.0,-6.125,-2.625,-4.125,3
-2.125,-3.25,-1.75,0.875,-0.75,-3.625,-4.0,-2.5,0
-3.75,-0.375,-1.375,-1.75,6.5,1.25,-1.625,-2.625,3
-0.375,2.125,0.0,-1.5,-0.125,-7.625,3.0,3.125,3
1.5,-1.25,-1.25,-1.625,2.875,1.5,-0.625,-0.75,3
5.375,0.625,0.625,1.0,1.0,4.5,0.5,1.125,2
2.5,-0.875,0.25,0.375,1.75,2.25,3.0,1.0,0
1.5,-0.625,-1.625,-2.0,1.625,2.5,-0.625,2.0,1
3.125,6.375,-0.125,0.75,2.625,3.75,0.625,-2.375,2
-2.375,-1.875,-1.75,-2.0,-2.0,-1.875,-0.25,-0.125,1
-0.125,-0.75,-2.625,-2.625,1.25,8.5,-3.125,-2.625,1
-2.125,-1.0,-0.125,-0.25,0.0,0.625,-1.75,-1.75,1
-0.75,-1.25,0.375,0.625,-5.0,-1.25,-1.625,-1.5,3
-5.125,-4.25,0.0,0.25,10.375,1.625,-1.25,1.125,2
-7.375,-1.875,-1.5,-1.625,1.375,2.0,-0.625,0.375,1
-2.125,-0.375,-0.75,-1.75,1.5,-0.625,-6.875,-3.875,0
-4.5,-2.125,-1.625,-0.125,-0.375,-6.25,-15.5,-7.875,0
0.0,-2.375,-2.5,-0.75,-6.0,-3.0,-6.125,-2.75,2
-1.125,-0.625,-0.875,-0.75,-2.0,-2.875,-1.875,-2.0,1
1.0,-1.5,-1.125,-1.0,0.0,3.25,0.0,0.125,1
-4.375,-1.0,-0.5,-1.0,0.5,5.625,-0.25,-1.875,3
-3.5,-1.375,-3.0,-2.875,-0.875,-4.25,-0.5,1.0,2
3.625,2.0,-2.0,-4.25,0.75,-1.75,5.375,1.125,0
2.25,0.125,-0.875,0.125,4.5,-8.0,0.0,-0.75,2
